City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,shorapur,16.5167,76.75,298.5,72,87,5.35,IN,1696302195
189,susuman,62.7833,148.1667,274.81,61,6,1.79,RU,1696302137
190,acarau,-2.8856,-40.12,299.04,86,11,6.16,BR,1696302195
191,shar,49.5886,81.0453,286.21,56,16,2.19,KZ,1696302196
192,thompson,55.7435,-97.8558,279.24,93,100,1.03,CA,1696302086
193,mejit,10.2753,170.8646,301.78,77,21,5.7,MH,1696302196
194,kill devil hills,36.0307,-75.676,294.81,87,0,4.63,US,1696301907
195,noumea,-22.2763,166.4572,298.15,99,91,11.2,NC,1696302018
196,san fernando de apure,7.8878,-67.4724,299.5,83,100,1.79,VE,1696302196
197,cayambe,0.05,-78.1333,282.74,92,98,0.6,EC,1696302196
198,argostolion,38.1811,20.489,293.56,50,4,2.31,GR,1696302156
199,bloemhof,-27.6469,25.607,286.9,60,0,4.01,ZA,1696302196
200,glace bay,46.1969,-59.957,282.47,95,0,2.06,CA,1696302157
201,jamestown,42.097,-79.2353,289.95,93,0,0.45,US,1696301963
202,chongjin,41.7956,129.7758,293.0,48,52,2.64,KP,1696302196
203,deyang,31.1302,104.382,293.31,77,100,1.36,CN,1696302196
204,kouango,4.9934,19.9619,295.53,98,100,1.2,CF,1696302197
205,la'ie,21.6477,-157.9253,302.04,73,25,1.34,US,1696302197
206,dedovichi,57.5517,29.9502,284.82,76,97,4.7,RU,1696302197
207,fort-shevchenko,44.5086,50.263,293.19,45,100,7.58,KZ,1696302197
208,gemena,3.25,19.7667,293.66,99,100,0.89,CD,1696302197
209,wongsorejo,-7.9908,114.4009,304.4,53,90,3.83,ID,1696302197
210,jefferson city,38.5767,-92.1735,296.91,56,2,3.1,US,1696302067
211,salmas,38.1973,44.7653,285.61,62,88,1.91,IR,1696302197
212,paraiso,9.8383,-83.8656,293.63,95,100,0.35,CR,1696302170
213,alofi,-19.0595,-169.9187,297.09,69,100,9.77,NU,1696302145
214,samana,19.2056,-69.3369,299.59,87,100,2.6,DO,1696302197
215,kabompo,-13.5927,24.2008,293.86,50,7,4.55,ZM,1696302197
216,punta arenas,-53.15,-70.9167,279.21,75,75,7.2,CL,1696302118
217,carbonear,47.7332,-53.2148,282.23,95,7,0.97,CA,1696302198
218,hilo,19.7297,-155.09,299.31,89,99,0.45,US,1696302020
219,pampas,-12.4,-74.9,285.13,89,99,1.44,PE,1696302198
220,nyurba,63.2842,118.3319,272.06,75,56,2.24,RU,1696302142
221,bornu yassu,12.2774,12.5552,298.81,52,97,2.66,NG,1696302198
222,houlton,46.1262,-67.8403,287.44,77,40,2.06,US,1696302198
223,horta,38.5333,-28.6333,290.94,81,4,4.02,PT,1696302198
224,olinala,17.8333,-98.85,292.42,98,100,0.87,MX,1696302198
225,luwuk,-0.9516,122.7875,304.22,57,54,2.15,ID,1696302198
226,saldanha,-33.0117,17.9442,288.18,89,0,6.64,ZA,1696302141
227,margate,51.3813,1.3862,291.43,81,100,1.79,GB,1696301838
228,fruita,39.1589,-108.729,285.79,71,0,2.57,US,1696302026
229,zheleznogorsk,52.331,35.3711,278.59,89,0,2.59,RU,1696302198
230,santa cruz,-17.8,-63.1667,300.85,69,77,4.63,BO,1696302140
231,malango,-2.9627,119.9001,303.33,48,54,2.17,ID,1696302174
232,wieruszow,51.2949,18.1555,288.33,69,90,3.76,PL,1696301938
233,kalmunai,7.4167,81.8167,300.58,77,61,6.76,LK,1696302155
234,queenstown,-31.8976,26.8753,289.88,42,0,2.49,ZA,1696302143
235,nizhnesortymskiy,62.4397,71.7603,281.54,89,51,6.9,RU,1696302198
236,seosan,36.7817,126.4522,292.89,56,100,2.49,KR,1696302199
237,floro,61.5996,5.0328,284.13,82,100,8.23,NO,1696302197
238,palmer,42.1584,-72.3287,287.38,82,0,0.0,US,1696302153
239,ust-nera,64.5667,143.2,274.94,68,29,1.34,RU,1696302127
240,avarua,-21.2078,-159.775,295.18,64,75,7.2,CK,1696302124
241,kone,-21.0595,164.8658,297.56,59,96,4.27,NC,1696302149
242,oral,51.2333,51.3667,283.14,76,0,3.0,KZ,1696302199
243,atafu village,-8.5421,-172.5159,302.08,73,10,5.31,TK,1696302131
244,prieska,-29.6641,22.7474,294.22,30,0,3.3,ZA,1696302199
245,bokakhat,26.6333,93.6,301.49,87,41,1.48,IN,1696302199
246,hongwon,40.0253,127.9558,293.36,45,100,2.91,KP,1696302199
